商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
,,,,,,,,布ミニコロナピンク300四段無地 300ミリ×25ｍ,1,,,,,,,,カラー／布ピンク,,"ポリフィルムの表面にコロナ放電加工を施したコロナマスカー。付着した塗膜が飛び散って塗面や周囲を汚したりする心配がなく、後始末も容易です。",,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 4,,1,,,7900,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,布ミニコロナ茶1100四段無地 1100ミリ×25ｍ,1,,,,,,,,カラー／布茶色,,"ポリフィルムの表面にコロナ放電加工を施したコロナマスカー。付着した塗膜が飛び散って塗面や周囲を汚したりする心配がなく、後始末も容易です。",,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 7,,1,,,12800,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,ニチバン布テープNO１０３緑２５ミリ 25ミリ×25ｍ,1,,,,,,,,カラー／グリーン,,さまざまな現場で使われている、汎用タイプ。手切れ性・直線性に優れている。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 10,,1,,,7300,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,ニチバン布テープNO１０３緑50ミリ  50ミリ×25ｍ,1,,,,,,,,カラー／グリーン,,さまざまな現場で使われている、汎用タイプ。手切れ性・直線性に優れている。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 13,,1,,,7300,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,ニチバン布テープＮＯ108　茶　25ミリ 25ミリ×25ｍ,1,,,,,,,,カラー／茶色,,粗面へのくいつきの良い強粘着タイプ,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 16,,1,,,8300,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,ニチバン布テープＮＯ108　茶　50ミリ 50ミリ×25ｍ,1,,,,,,,,カラー／茶色,,粗面へのくいつきの良い強粘着タイプ,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 19,,1,,,7900,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,G布22ノンスリップマスカー１１００-25（20）  １１００ミリ×25ｍ,1,,,,,,,,カラー／グリーン,,滑りやすい屋根や床の養生に効果的,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 22,,1,,,15600,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,コニシ　テーププライマーG-7700,1,,,,,,,,430ｍｌ,,養生用テープの下地処理用プライマー、テープの密着性を向上させ、剥がれによるトラブルを解消します。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,B - 25,,1,,,780,,0,,,,,,,,,,,,,,,2,NEW,11,建築用養生マスカー
,,,,,,,,不織布カーカバー普通車用　青,1,,,,,,,,3.7×6.8,,建築現場やその他の工事現場での養生作業。車を野外に保管するときなど、ワンタッチでカバーがぢ来ます。又、繰り返し使用出来ます。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,C - 1,,1,,,1200,,0,,,,,,,,,,,,,,,2,NEW,12,建築現場養生カバー
,,,,,,,,不織布カーカバーワゴン車用　白,1,,,,,,,,4.8×7.5,,建築現場やその他の工事現場での養生作業。車を野外に保管するときなど、ワンタッチでカバーがぢ来ます。又、繰り返し使用出来ます。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,C - 2,,1,,,1600,,0,,,,,,,,,,,,,,,2,NEW,13,建築現場養生カバー
,,,,,,,,エアコン室外機カバー,1,,,,,,,,860×320×700,,お客様の室外機を汚すことなく作業が可能繰り返し使用できて、経済的です。メッシュ素材でエアコン使用時も室外機に負担をかけません。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,C - 3,,1,,,500,,0,,,,,,,,,,,,,,,2,NEW,14,建築現場養生カバー
,,,,,,,,"らくらくカット（両面コロナ）0.01×1800×200",1,,,,,,,,半透明,,ビルや戸建住宅の内外装などの大型養生に最適のポリシート。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 1,,1,,,1600,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,"らくらくカット（片面コロナ）0.01×1800Ｗ×100",1,,,,,,,,半透明,,ビルや戸建住宅の内外装などの大型養生に最適のポリシート。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 3,,1,,,1800,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,ポリシート0.02×1800×100,1,,,,,,,,半透明,,ビルや戸建住宅の内外装などの大型養生に最適のポリシート。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 5,,1,,,1650,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,ポリシート0.02×1800Ｗ×100,1,,,,,,,,半透明,,ビルや戸建住宅の内外装などの大型養生に最適のポリシート。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 7,,1,,,2950,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,"ノンスリップポリシート　OKグリーン0.03×1800×100",1,,,,,,,,グリーン,,滑り止め加工を施したポリシート,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 9,,1,,,2400,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,"ブルーシートロール軽量タイプ９００×１００Ｍ",1,,,,,,,,ブルー,,詳細なし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 11,,1,,,2400,,0,,,,,,,,,,,,,,,2,NEW,13,ポリシート・ブルーシート関連
,,,,,,,,ブルーシート軽量タイプ3.6×5.4,1,,,,,,,,ブルー,,詳細なし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,D - 12,,1,,,580,,0,,,,,,,,,,,,,,,2,NEW,14,ポリシート・ブルーシート関連
,,,,,,,,富士トンボＦＤＣディスク　５”　＃１４,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 1,,1,,,1150,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　５”　＃１６,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 2,,1,,,1050,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　５”　＃２４,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 3,,1,,,980,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　５”　＃３０,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 4,,1,,,950,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　５”　＃３６,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 5,,1,,,950,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　４”　＃１４,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 6,,1,,,860,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　４”　＃１６,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 7,,1,,,810,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　４”　＃２４,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 8,,1,,,780,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　４”　＃３０,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 9,,1,,,780,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,富士トンボＦＤＣディスク　４”　＃３６,1,,,,,,,,サイズ�@／125,,耐熱ファイバーを基材として使用したハードタイプ。耐久性に優れています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 10,,1,,,780,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,スーパーマジックオレンジ　100×160,1,,,,,,,,１００ミリ×１６０ミリ,,"高耐水性・高耐油性、砂落ち軽減、型崩れしにくく、抜群の作業性で頑固なサビ・塗膜・水あか・コケを落とします。鮮やかなオレンジ色で薄くらい場所でも視認性抜群です。",,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 11,　,1,,,2560,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,スーパーマジックオレンジ　150×250,1,,,,,,,,150ミリ×２５０ミリ,,"高耐水性・高耐油性、砂落ち軽減、型崩れしにくく、抜群の作業性で頑固なサビ・塗膜・水あか・コケを落とします。鮮やかなオレンジ色で薄くらい場所でも視認性抜群です。",,,,,,,,,,,,,,,,,,,,,,,2,0,1,E - 14,,1,,,4270,,0,,,,,,,,,,,,,,,2,NEW,18,ケレン関連商品
,,,,,,,,スーパーコークチューブ（アクリル）NB,1,,,,,,,,500ｇ,,アクリル系、ノンブリードタイプ,,,型式,チューブ,,,,,,,,,,,,,,,,,,,2,0,1,F-1,,1,,,360,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,スーパーコークカート（アクリル）NB,1,,,,,,,,330ｍｌ,,アクリル系、ノンブリードタイプ,,,型式,カートリッジ,,,,,,,,,,,,,,,,,,,2,0,1,F-3,,1,,,540,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,外壁専科チューブ（水性ウレタン）,1,,,,,,,,500ｇ,,水性ウレタン。ノンブリードタイプ,,,型式,チューブ,,,,,,,,,,,,,,,,,,,2,0,1,F - 5,,1,,,650,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,外壁専科カート（水性ウレタン）,1,,,,,,,,330ｍｌ,,水性ウレタン。ノンブリードタイプ,,,型式,カートリッジ,,,,,,,,,,,,,,,,,,,2,0,1,F - 7,,1,,,700,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,コニシボンドコークNBチューブ,1,,,,,,,,500ｇ,,ＡＬＣ板の目地・モルタル等のひび割れ補修、ノンブリードタイプで、ベタツキ無し,,,,,,,,,,,,,,,,,,,,,,,2,0,1,F - 9,,1,,,520,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,タスペーサー02（５００個）黒,1,,,,,,,,黒,,平板スレート屋根再塗装時の必需品、緑切り作業に使用します。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,F - 11,,1,,,6500,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,タスペーサー02（５００個）黒,1,,,,,,,,黒,,平板スレート屋根再塗装時の必需品、緑切り作業に使用します。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,F - 12,,1,,,6000,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,タスペーサー02（５００個）黒,1,,,,,,,,黒,,平板スレート屋根再塗装時の必需品、緑切り作業に使用します。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,F - 13,,1,,,5800,,0,,,,,,,,,,,,,,,2,NEW,14,シーリング関連商品
,,,,,,,,ミドル・スモール兼用ハンドル　長柄,1,,,,,,,,コメントなし,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 1,,1,,,140,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ミドル・スモール兼用ハンドル　短柄,1,,,,,,,,コメントなし,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 2,,1,,,140,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ミニハンドル　長柄４”,1,,,,,,,,４インチ用,,適度なしなりで作業性抜群のミニローラー専用ハンドルです。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 3,,1,,,135,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ミニハンドル　長柄４”,1,,,,,,,,４インチ用,,適度なしなりで作業性抜群のミニローラー専用ハンドルです。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 4,,1,,,135,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ミニハンドル長柄２・３兼用,1,,,,,,,,２・３インチ用,,適度なしなりで作業性抜群のミニローラー専用ハンドルです。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 5,,1,,,135,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ミニハンドル長柄２・３兼用,1,,,,,,,,２・３インチ用,,適度なしなりで作業性抜群のミニローラー専用ハンドルです。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 6,,1,,,135,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,段付プレス缶,1,,,,,,,,2.4Ｌ,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 7,,1,,,240,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ポリ缶　３Ｌ,1,,,,,,,,３Ｌ,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 8,,1,,,200,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,カートリッジ　１型　（５０枚）,1,,,,,,,,2.2Ｌ,,コメントなし,,,単位,50枚,,,,,,,,,,,,,,,,,,,2,0,1,G - 9,,1,,,1500,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,無印カートリッジ２型（２０枚）,1,,,,,,,,2.2Ｌ,,内側に刷毛をしごけるように、めくれています。,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 12,,1,,,1500,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,"ＥＣＯローラーバケットSX２本ハンドル固定式",1,,,,,,,,210×170（底）,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 15,,1,,,340,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,SXカートリッジ　（３０枚）,1,,,,,,,,コメントなし,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 16,,1,,,2400,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,ローラーネット　S・ＳＸ用,1,,,,,,,,コメントなし,,コメントなし,,,,,,,,,,,,,,,,,,,,,,,2,0,1,G - 19,,1,,,90,,0,,,,,,,,,,,,,,,2,NEW,15,ローラー用具・用品
,,,,,,,,マイクログランデ７ミリスモール４”,1,,,,,,,,毛丈７ミリ４インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・25ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,4Ｓ－ＭＧ7,,,,,,,,,,,,,,,,,,,2,0,1,H - 1,,1,,,320,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ７ミリスモール６”,1,,,,,,,,毛丈７ミリ6インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・26ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,6Ｓ－ＭＧ7,,,,,,,,,,,,,,,,,,,2,0,1,H - 3,,1,,,350,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ１３ミリスモール４”,1,,,,,,,,毛丈１３ミリ４インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・27ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,4Ｓ－ＭＧ13,,,,,,,,,,,,,,,,,,,2,0,1,H - 5,,1,,,320,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ１３ミリスモール６”,1,,,,,,,,毛丈１３ミリ6インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・28ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,6Ｓ－ＭＧ13,,,,,,,,,,,,,,,,,,,2,0,1,H - 7,,1,,,350,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ18ミリスモール４”,1,,,,,,,,毛丈18ミリ４インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・29ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,4Ｓ－ＭＧ18,,,,,,,,,,,,,,,,,,,2,0,1,H - 9,,1,,,370,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ18ミリスモール６”,1,,,,,,,,毛丈18ミリ６インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・30ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,6Ｓ－ＭＧ18,,,,,,,,,,,,,,,,,,,2,0,1,H - 11,,1,,,400,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
,,,,,,,,マイクログランデ25ミリスモール４”,1,,,,,,,,毛丈25ミリ４インチ,,耐久性を追及した高密度マイクロファイバーの特徴であるきめ細かさ・低飛散性に加え、毛のボリューム感を持たせることで耐久性も兼ね備えた、内装・外装へ幅広くご使用頂けるローラーです。　　　　　　　　　　７ミリ：非常にきめ細かく扉などの塗装に最適　　　　　　　　　　　　　　　　　　　　　　　　　　１３ミリ：内装作業に最適　　　　　　　　　　　　18・31ミリ：含みが多く、吹付けタイル・サイディングなどの外装面に最適,,,型番,4Ｓ－ＭＧ25,,,,,,,,,,,,,,,,,,,2,0,1,H - 13,,1,,,370,,0,,,,,,,,,,,,,,,2,NEW,16, ローラー
